BTC,ETH
0.09687275011862209,1.2686525801067885
0.09977893262218075,1.3067121575099923
0.10277230060084618,1.345913522235292
0.10585546961887156,1.3862909279023508
0.10903113370743771,1.4278796557394213
0.11230206771866084,1.470716045411604
0.11567112975022067,1.514837526773952
0.1191412636427273,1.5602826525771705
0.12271550155200912,1.6070911321544856
0.1263969665985694,1.6553038661191202
0.13018887559652648,1.7049629821026937
0.13409454186442227,1.7561118715657744
0.13811737812035493,1.8087952277127477
